institution, ror, repository, count 
"University of Auckland",https://ror.org/03b94tp07,"Chalmers Research (Chalmers University of Technology)",1,
"University of Auckland",https://ror.org/03b94tp07,"University of Huddersfield Repository (University of Huddersfield)",1,
"University of Auckland",https://ror.org/03b94tp07,"ResearchOnline - ND (The University of Notre Dame Australia)",2,
"University of Auckland",https://ror.org/03b94tp07,"Wolverhampton Intellectual Repository and E-Theses (University of Wolverhampton)",2,
"University of Auckland",https://ror.org/03b94tp07,"Keele Research Repository (Keele University)",15,
"University of Auckland",https://ror.org/03b94tp07,"MDPI (MDPI AG)",8,
"University of Auckland",https://ror.org/03b94tp07,"TSpace (University of Toronto)",2,
"University of Auckland",https://ror.org/03b94tp07,"Econstor (Econstor)",36,
"University of Auckland",https://ror.org/03b94tp07,"Murdoch Research Repository (Murdoch University)",6,
"University of Auckland",https://ror.org/03b94tp07,"NTUR (臺灣機構典藏)",2,
"University of Auckland",https://ror.org/03b94tp07,"reroDoc Digital Library",5,
"University of Auckland",https://ror.org/03b94tp07,"PRISM (University of Calgary)",3,
"University of Auckland",https://ror.org/03b94tp07,"University of North Texas Digital Library (University of North Texas)",4,
"University of Auckland",https://ror.org/03b94tp07,"Queensland Department of Agriculture and Fisheries archive of scientific and research publications (Queensland Department of Agriculture and Fisheries)",2,
"University of Auckland",https://ror.org/03b94tp07,"Open Access Victoria University of Wellington | Te Herenga Waka (Figshare)",9,
"University of Auckland",https://ror.org/03b94tp07,"ScholarSpace (University of Hawaii at Manoa)",3,
"University of Auckland",https://ror.org/03b94tp07,"Middlesex University Research Repository (Middlesex University Of London)",2,
"University of Auckland",https://ror.org/03b94tp07,"ROAR (University of East London)",7,
